LATITUDE,LONGITUDE
36.1866624,5.3938581
36.1874606,5.3931063
36.1870901,5.3924778
36.1862819,5.3932203
36.1732119,5.4134944
36.1731634,5.4126687
36.1731472,5.4117884
36.1731656,5.4110377
36.1732119,5.4104381
36.1732991,5.4096855
36.1734565,5.4089295
36.1737061,5.408044
36.1742717,5.4064955
36.1749534,5.4048054
36.1756641,5.4029522
36.176279,5.4013526
36.1768975,5.3998131
36.1772089,5.3991249
36.1774297,5.3987252
36.1776722,5.3983256
36.1780584,5.3977164
36.1786641,5.3969279
36.1790479,5.3965149
36.1795532,5.3960272
36.1802592,5.3953845
36.1808494,5.3948848
36.1815204,5.3942871
36.1832842,5.3927402
36.1848707,5.3912563
36.185317,5.3907766
36.1858394,5.3901774
36.1863243,5.3895712
36.1867616,5.3890026
36.1876145,5.3877527
36.1877747,5.387522
36.1882275,5.3869657
36.1886385,5.3863729
36.1887753,5.3861665
36.1894581,5.3850491
36.1895405,5.3847151
36.1896072,5.3845209
36.1898024,5.3837386
36.1898637,5.383456
36.19,5.3824905
36.1901501,5.3814106
36.1904066,5.3795498
36.19176,5.3739801
36.1918125,5.3735033
36.1918357,5.3729772
36.1919658,5.3721289
36.1920282,5.3713985
36.1921152,5.370367
36.1922006,5.3694723
36.1923031,5.3681889
36.192407,5.3671777
36.1924792,5.3666705
36.1925412,5.366306
36.1926213,5.36596
36.19271,5.365563
36.1930001,5.3643077
36.1933248,5.3629532
36.1934828,5.3621298
36.193565,5.3617382
36.1937512,5.3611239
36.1940998,5.3599307
36.1941834,5.3595221
36.1942588,5.3589552
36.1942688,5.3582466
36.1942588,5.3579323
36.194206,5.357415
36.1941127,5.356841
36.1938233,5.3558041
36.1935028,5.3549714
36.1929718,5.3533445
36.1927419,5.352637
36.1925704,5.3522283
36.1924122,5.3519178
36.1921785,5.3516002
36.1917809,5.3511355
36.1913079,5.3506008
36.1909385,5.3501642
36.1907878,5.3499774
36.1903963,5.3493125
36.1902512,5.3490007
36.1901526,5.3487363
36.1899634,5.3479725
36.189873,5.3475499
36.1897505,5.3469731
36.1890849,5.3436578
36.1888646,5.3425889
36.1887948,5.3421288
36.1884284,5.3360092
36.1837699,5.3925108
36.1850505,5.3912856
36.1883214,5.3871104
36.1887621,5.3866315
36.1889162,5.3864165
36.1891362,5.3860924
36.189338,5.3857008
36.1894777,5.3853138
36.1895875,5.3850285
36.189851,5.3841954
